Draw,Date,WN1,WN2,WN3,WN4,WN5,WN6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
17/006,1/15/2017,1,6,22,37,44,48,35,,,2,4,2,0,1,1,2,1.5,16516210,1,2334620,90,69170,237.5,9600,4655,640,6043.5,320,88271.1,40,51532305
17/005,1/12/2017,18,25,27,30,40,43,6,,,3,3,0,1,3,1,1,0,0,7,247520,67,68960,380.5,9600,3533.5,640,9113.9,320,64366.7,40,44627272
17/004,1/10/2017,2,7,14,26,38,39,12,"7,14",,2,4,2,1,1,2,0,0.5,22855160,0.5,2289860,130,46970,238.7,9600,5061.4,640,7125.9,320,83023.2,40,51680720
17/003,1/7/2017,7,10,14,29,45,46,19,14,7,3,3,2,1,1,0,2,0,0,0,0,35,152100,138,9600,2758.5,640,4707,320,56410.1,40,39774959
17/002,1/5/2017,5,14,20,21,36,49,39,,5,3,3,1,2,1,1,1,0,0,1,1714840,49.5,92380,121,9600,2992.5,640,3321.2,320,54059.2,40,34934979
17/001,1/3/2017,4,11,22,29,37,46,18,,,3,3,1,1,2,1,1,2.5,30252220,4.5,1528180,186.5,98320,582.5,9600,11114.4,640,17763.2,320,215463.5,40,143310824
16/151,12/31/2016,8,9,12,15,17,28,33,"15,17",,3,3,2,3,1,0,0,3,11582010,3.5,532230,210.2,23630,339,9600,8858.6,640,9465.4,320,135682.1,40,57457946
16/150,12/29/2016,2,11,13,15,17,21,26,,,5,1,1,4,1,0,0,0,0,4,637470,210.5,32300,282,9600,6851.4,640,7078.2,320,107779,40,59905335
16/149,12/25/2016,3,4,10,26,37,43,41,4,,3,3,3,0,1,1,1,0,0,0,0,65.5,79250,106.5,9600,3547.7,640,3350.2,320,66716.5,40,39435160
16/148,12/23/2016,4,14,16,25,32,35,47,32,,2,4,1,2,1,2,0,0.5,27442250,1.5,1755720,56.5,124290,179.5,9600,4176.2,640,5200.5,320,78738.7,40,52784003
16/147,12/20/2016,5,28,32,34,37,48,39,28,,2,4,1,0,1,3,1,0,0,2,1101720,70,83940,151,9600,3288,640,4801.6,320,63777.9,40,44044595
16/146,12/18/2016,3,10,21,26,28,38,29,,,2,4,2,0,3,1,0,0,0,0,0,95.5,43220,197,9600,4908.4,640,5555.9,320,82328.1,40,39713694
16/145,12/15/2016,15,19,20,32,33,34,23,,15,3,3,0,3,0,3,0,0.5,13476990,1.5,1297470,69,75210,130.5,9600,2810.7,640,4297.3,320,55831.4,40,38736961
16/144,12/13/2016,7,14,26,31,38,44,37,7,,2,4,1,1,1,2,1,0.5,15276750,1,2168560,73.5,78670,140.5,9600,3422.9,640,4229.1,320,64348.9,40,43247428
16/143,12/10/2016,7,22,32,33,34,39,45,39,,3,3,1,0,1,4,0,0,0,0.5,1542150,64,64250,120,9600,3237.6,640,3422.5,320,55143.1,40,33005201
16/142,12/8/2016,9,24,26,28,37,39,29,,,3,3,1,0,3,2,0,1,14952940,2.5,737850,54,91090,192,9600,3923.9,640,5847.7,320,72867.7,40,41952244
16/141,12/6/2016,3,7,17,29,32,49,11,,,5,1,2,1,1,1,1,0.5,18838130,1,2004950,82,65200,279.5,9600,4242.8,640,7968.4,320,78458.4,40,47731773
16/140,12/3/2016,8,13,23,30,47,48,7,,,3,3,1,1,2,0,2,0,0,1,1607750,73,58730,202.5,9600,3856.2,640,5739.2,320,66268.4,40,38291968
16/139,12/1/2016,9,15,18,21,24,37,16,"18,24",,4,2,1,2,2,1,0,0,0,1,1652470,44.5,99020,141,9600,2726,640,4234.5,320,51792.7,40,34501896
16/138,11/29/2016,4,11,18,22,24,49,25,4,,2,4,1,2,2,0,1,1,8000000,3,495440,73,54290,186.5,9600,3650.4,640,4964.7,320,66966.8,40,35709168
16/137,11/26/2016,1,2,3,4,7,10,33,3,,3,3,6,0,0,0,0,23.5,2815140,6,38400,1334.9,19200,604,9600,24964.1,640,13820.1,320,235153.1,40,89142376
16/136,11/24/2016,3,9,24,31,38,49,41,38,24,4,2,2,0,1,2,1,0,0,1.5,2606900,106.5,97910,260,9600,7497.1,640,8493,320,143131.2,40,82193372
16/135,11/22/2016,12,13,16,18,38,40,5,,,1,5,0,4,0,2,0,0,0,1,3359140,157.5,56870,298.7,9600,7203.4,640,9193.6,320,124138.5,40,74063471
16/134,11/19/2016,2,6,23,24,37,42,32,,,2,4,2,0,2,1,1,0,0,3.5,766810,83,86220,262,9600,4887.5,640,7397.4,320,94266.7,40,58227586
16/133,11/17/2016,5,18,26,28,30,45,33,18,,2,4,1,1,3,0,1,0,0,0,0,88,72070,231,9600,4868.6,640,6713.8,320,88434.8,40,52672914
16/132,11/15/2016,10,15,17,18,27,40,26,27,15,3,3,1,3,1,1,0,0,0,0.5,2124700,51.5,110010,197.5,9600,3922.1,640,5695.3,320,77323.3,40,46087431
16/131,11/13/2016,2,16,27,29,34,41,42,,,3,3,1,1,2,1,1,0,0,0,0,33.5,173040,117,9600,2749.7,640,3825,320,57810.7,40,41380026
16/130,11/10/2016,3,17,38,39,46,49,37,3,,4,2,1,1,0,2,2,0,0,0.5,1691260,45,100220,93.7,9600,2210.5,640,3206.2,320,43677.7,40,32365780
16/129,11/8/2016,3,5,6,11,34,42,28,42,,3,3,3,1,0,1,1,1.5,28255500,5.5,519940,101,75500,334.5,9600,6214.1,640,10081.7,320,122732.6,40,67173953
16/128,11/5/2016,9,12,31,39,42,46,48,,,3,3,1,1,0,2,2,0,0,2.5,1013580,62.5,108110,183.5,9600,3677.2,640,5625.5,320,74273.4,40,50833134
16/127,11/3/2016,6,14,18,22,30,38,47,,,0,6,1,2,2,1,0,,,,,,,,,,,,,,,48176818
16/126,11/1/2016,1,2,21,31,33,36,8,,1,4,2,2,0,1,3,0,0,0,2,959820,101,50680,257.9,9600,5359.2,640,7498.9,320,89801.5,40,48075501
16/125,10/29/2016,22,26,32,38,43,47,42,,,2,4,0,0,2,2,2,0,0,2,914890,62.5,78070,146,9600,2658.5,640,4190,320,51467.7,40,36865902
16/124,10/27/2016,8,16,17,34,35,44,41,"8,17",,2,4,1,2,0,2,1,0,0,1,1738780,55.5,83540,85.5,9600,2713.5,640,2806.5,320,48327.3,40,33568510
16/123,10/25/2016,7,8,12,17,22,29,14,12,,3,3,2,2,2,0,0,2.5,30026600,9.5,528640,329,40700,763,9600,16338.8,640,17687.8,320,264959.8,40,131171453
16/122,10/22/2016,3,12,13,20,33,43,35,,,4,2,1,3,0,1,1,0,0,1,1468460,138.5,28270,211.2,9600,6355.3,640,4660.2,320,72592.7,40,39347881
16/121,10/20/2016,2,4,7,15,28,45,19,28,,3,3,3,1,1,0,1,0,0,1,1826770,72,67650,178.9,9600,3850,640,5051.5,320,71046.1,40,40782879
16/120,10/18/2016,8,27,28,30,38,41,12,"27,28",,2,4,1,0,3,1,1,0.5,23998200,5.5,325810,111,43050,339,9600,5618.1,640,8959.1,320,97492.3,40,49527524
16/119,10/15/2016,7,12,18,27,28,40,10,"27,40",,2,4,1,2,2,1,0,0,0,2.5,627400,62.5,66920,266.7,9600,4111.2,640,7162.2,320,72335.1,40,40495746
16/118,10/13/2016,2,9,16,27,32,40,46,16,,2,4,2,1,1,2,0,0,0,1,1972210,55,95620,133,9600,3042.1,640,3491.5,320,61434.6,40,39346088
16/117,10/11/2016,16,19,24,28,36,42,13,"28,36",,1,5,0,2,2,1,1,0,0,1.5,995050,56,71070,176,9600,2682.2,640,4277.8,320,48724.3,40,32701374
16/116,10/9/2016,12,26,28,36,45,49,9,,,2,4,0,1,2,1,2,1,25102070,2.5,746500,105,47390,403.5,9600,4484.1,640,11189.9,320,81093.4,40,50444713
16/115,10/6/2016,5,11,13,19,33,48,34,,,5,1,1,3,0,1,1,0,0,0.5,1869700,79,63110,187.5,9600,4382,640,5303.3,320,80195.2,40,42975530
16/114,10/4/2016,2,6,10,28,38,40,30,,,0,6,3,0,1,2,0,0.5,25918710,1,1874820,92,54340,334.4,9600,5360.3,640,8079.3,320,93002.2,40,49409715
16/113,10/2/2016,7,8,21,22,34,46,6,,,2,4,2,0,2,1,1,0,0,0.5,1799120,59,81310,253,9600,4314.1,640,6837.9,320,78362.5,40,43875706
16/112,9/29/2016,14,20,28,33,41,48,40,28,,2,4,0,2,1,1,2,0,0,1,1999100,43,123970,132,9600,2773,640,3713,320,54383.2,40,38983073
16/111,9/27/2016,12,16,19,23,28,32,27,,,2,4,0,3,2,1,0,0,0,1,1568520,72.7,57530,161,9600,3493.6,640,4486.4,320,61651.4,40,35507837
16/110,9/24/2016,1,17,20,34,43,44,42,"43,44",,3,3,1,2,0,1,2,1,26170670,1,2366470,50.5,124960,136,9600,3255.5,640,4867.5,320,64387.7,40,46035258
16/109,9/22/2016,5,30,38,43,44,47,14,44,,3,3,1,0,1,1,3,0,0,0,0,47,123560,121,9600,2659.5,640,4238,320,55294.8,40,41455850
16/108,9/20/2016,4,16,19,27,41,44,25,,,3,3,1,2,1,0,2,0.5,20720150,4,591400,81.7,77210,181,9600,3771.2,640,4734.7,320,67528.8,40,47588946
16/107,9/17/2016,3,18,21,25,31,42,26,25,,4,2,1,1,2,1,1,0,0,1,1874420,50,99960,126,9600,2897.7,640,3861.1,320,56066.5,40,37545147
16/106,9/15/2016,24,25,34,35,44,49,30,49,,3,3,0,0,2,2,2,0,0,1.5,1158690,90.5,51210,117,9600,3102,640,3627.6,320,52859.8,40,35401214
16/105,9/13/2016,1,13,19,21,38,49,23,38,13,5,1,1,2,1,1,1,1.5,55625480,11,710240,330,63130,775.5,9600,16064.2,640,21582.6,320,288971.4,40,173013664
16/104,9/10/2016,7,16,32,37,38,46,22,,,2,4,1,1,0,3,1,0,0,1.5,1500440,58.5,102590,204,9600,4090.3,640,5572.4,320,72458.7,40,47678029
16/103,9/8/2016,3,4,5,26,45,48,14,48,,3,3,3,0,1,0,2,0,0,1,2204510,71.5,82210,172,9600,4113.5,640,5325.1,320,76951.8,40,46696732
16/102,9/6/2016,11,15,33,41,43,48,27,43,,5,1,0,2,0,1,3,0,0,2.5,893960,63,94590,132.5,9600,3244.5,640,4604.9,320,62258.6,40,43861879
16/101,9/4/2016,8,25,26,28,38,43,22,8,,2,4,1,0,3,1,1,0.5,18604190,3,650000,83,62650,223,9600,4483.4,640,6810.6,320,81443,40,45802000
16/100,9/1/2016,8,11,13,30,34,49,2,34,,3,3,1,2,1,1,1,0,0,1,1843760,56,87790,168.5,9600,3216.5,640,4759.6,320,65687.1,40,39507677
16/099,8/30/2016,14,20,21,31,34,42,25,,,2,4,0,2,1,2,1,0.5,14445740,1,2148580,64.5,88830,156,9600,3311.4,640,4232.7,320,65294.3,40,43191955
16/098,8/27/2016,3,6,13,24,37,43,30,,,4,2,2,1,1,1,1,0,0,1,1516570,51.5,78520,124.5,9600,2735.9,640,3869.2,320,54343,40,32349060
16/097,8/25/2016,4,20,34,35,40,47,3,,,2,4,1,1,0,3,1,1,36248280,3,924990,77.5,95480,219.5,9600,4287.9,640,5895.9,320,82751.3,40,56255099
16/096,8/23/2016,14,16,24,25,43,44,3,,,2,4,0,2,2,0,2,0.5,55846660,2,1899430,128.5,78830,286.5,9600,7145.5,640,8763,320,122840.1,40,79392309
16/095,8/20/2016,2,3,15,28,46,48,33,"3,46",,2,4,2,1,1,0,2,0,0,3,963100,64.5,119450,209,9600,4705,640,6905.7,320,92097.6,40,59404718
16/094,8/18/2016,3,17,20,22,45,46,30,"20,46",,3,3,1,2,1,0,2,0,0,2,1436730,70.5,108680,169.5,9600,3753.5,640,5137.5,320,74926.7,40,55039851
16/093,8/16/2016,5,12,14,20,27,46,26,,,2,4,1,3,1,0,1,0,0,2,1124540,90,66630,214.5,9600,4774.9,640,6528.4,320,84946.7,40,50146104
16/092,8/13/2016,3,4,11,23,44,47,24,"11,23",,4,2,2,1,1,0,2,0,0,1,1890900,61.5,81990,244.5,9600,3899.5,640,6334.5,320,72803.7,40,43768215
16/091,8/11/2016,10,11,19,23,30,38,13,,11,3,3,1,2,2,1,0,0,0,1,1689050,93.5,48170,184,9600,4573.8,640,5379.5,320,79489,40,40682664
16/090,8/9/2016,5,9,13,22,34,39,40,,9,4,2,2,1,1,2,0,0,0,0,0,67,66640,123.5,9600,3661.8,640,3662.2,320,66245.1,40,36331042
16/089,8/6/2016,2,17,23,32,36,40,3,,,2,4,1,1,1,3,0,1,8000000,1.5,1068700,57.5,74340,156.5,9600,2705.2,640,4522.7,320,49877.8,40,34111314
16/088,8/4/2016,10,16,34,41,45,47,7,,,3,3,1,1,0,1,3,1,14233140,0,0,49.5,111930,117,9600,2834.5,640,3819.2,320,52011.3,40,39743010
16/087,8/2/2016,7,11,12,19,21,39,49,21,,5,1,1,3,1,1,0,0,0,1,1127160,83.4,36040,212,9600,4785.2,640,5352.5,320,73520.8,40,33349936
16/086,7/30/2016,9,21,29,33,35,48,28,35,,5,1,1,0,2,2,1,1,15741020,4.5,410180,88.5,55610,173.5,9600,3938.7,640,5565.9,320,70315.7,40,41301316
16/085,7/28/2016,12,20,24,35,39,47,15,,,3,3,0,2,1,2,1,0.5,16042160,0,0,62.5,93110,149.5,9600,2916.1,640,4024.6,320,56043.7,40,42258493
16/084,7/26/2016,3,14,17,21,28,49,12,,,4,2,1,2,2,0,1,0,0,0,0,71,56140,160,9600,3404.7,640,4631.2,320,57076.1,40,34132637
16/083,7/24/2016,11,18,26,31,39,44,24,"11,44",,3,3,0,2,1,2,1,1,68372410,4.5,1068550,140,91590,343.5,9600,7161.6,640,10564.4,320,136822,40,96225046
16/082,7/22/2016,10,11,22,41,44,46,35,46,22,2,4,1,1,1,0,3,0.5,107893900,6.5,1397430,320,75690,778.5,9600,18226.5,640,21103.5,320,322335.4,40,195054501
16/081,7/19/2016,7,21,27,33,46,47,4,7,,5,1,1,0,2,1,2,0,0,5,1376260,267,68720,624.5,9600,13840,640,18292.3,320,243069.8,40,149707089
16/080,7/16/2016,1,2,7,16,24,34,36,16,16,2,4,3,1,1,1,0,0,0,3.5,452100,86.5,48780,183.5,9600,4277.3,640,4751.8,320,73708.5,40,38075019
16/079,7/14/2016,16,21,30,36,38,47,48,,,2,4,0,1,2,2,1,0,0,2.5,607750,34.5,117440,189.5,9600,2432.2,640,5500.5,320,50352.2,40,33853850
16/078,7/12/2016,12,20,31,32,35,45,18,"20,31",12,3,3,0,2,0,3,1,1,36859760,1.5,2082640,71.5,116510,230,9600,4464.5,640,6954.5,320,88698.1,40,62453477
16/077,7/9/2016,7,19,20,28,30,31,29,31,,3,3,1,2,2,1,0,0,0,4.5,422210,86,58910,326,9600,4600.3,640,7364.8,320,82583.2,40,47505745
16/076,7/7/2016,13,14,21,31,38,44,22,"13,44",,3,3,0,2,1,2,1,0,0,1,2217530,54,109500,182,9600,3437.5,640,4887.9,320,65228.9,40,45122563
16/075,7/5/2016,1,6,13,17,34,44,38,,,3,3,2,2,0,1,1,0,0,0.5,2038650,54,100670,133.9,9600,3557.8,640,4431.9,320,68640.7,40,41965751
16/074,7/2/2016,2,8,16,32,33,37,5,"2,16",2,2,4,2,1,0,3,0,0,0,2,595420,61,52050,261.5,9600,3097.9,640,5009.1,320,51487.7,40,31258661
16/073,6/30/2016,2,5,6,7,16,29,35,7,,3,3,4,1,1,0,0,1,22324120,0.5,1581440,230,19200,211,9600,8060.8,640,5633.9,320,107534.5,40,46468294
16/072,6/28/2016,7,13,23,30,32,48,36,,,3,3,1,1,2,1,1,0,0,3,631300,76,66450,263,9600,4208.9,640,6664.4,320,77622.7,40,45057208
16/071,6/25/2016,10,15,22,38,42,43,18,,,2,4,1,1,1,1,2,0.5,23796070,3,717390,59,97270,208.5,9600,3335.5,640,4939.9,320,64268.7,40,44545953
16/070,6/23/2016,6,9,21,35,48,49,29,"9,21",,4,2,2,0,1,1,2,0,0,1.5,1106430,107,41360,212.5,9600,6044.5,640,6232,320,81408.4,40,43180821
16/069,6/21/2016,9,10,20,21,38,39,49,,21,3,3,2,1,1,2,0,0,0,11,132130,168.1,23050,298,9600,5396.1,640,7080,320,81649.8,40,41656253
16/068,6/18/2016,4,5,8,12,34,37,24,,,2,4,3,1,0,2,0,0,0,3.5,345000,51,63130,225.5,9600,3293.6,640,5901.4,320,62280.1,40,32405053
16/067,6/16/2016,19,22,27,29,45,48,4,,,4,2,0,1,3,0,2,2,26446460,0.5,2755460,108.5,84650,239.5,9600,4964.5,640,6971.9,320,99377.9,40,68362653
16/066,6/14/2016,13,15,30,36,44,49,37,,,3,3,0,2,1,1,2,0,0,4,787320,75.5,111230,223,9600,5350.5,640,6009,320,101368.4,40,64100768
16/065,6/11/2016,10,14,23,29,40,42,11,42,,2,4,1,1,2,1,1,0,0,2.5,1104710,61,120730,209.5,9600,3674.9,640,6192.6,320,75133.1,40,54783133
16/064,6/8/2016,4,13,34,36,42,48,19,,,1,5,1,1,0,2,2,0,0,0.5,2364140,53.5,117830,186,9600,3727.4,640,5157.7,320,71845,40,48176130
16/063,6/6/2016,2,5,8,12,20,49,47,8,,2,4,3,2,0,0,1,0,0,1.5,671440,140,19200,175,9600,5356.7,640,4193.5,320,74950.5,40,31165111
16/062,6/4/2016,8,16,21,32,38,48,11,,,1,5,1,1,1,2,1,0,0,1,1613960,68.5,62830,165.5,9600,3787.5,640,4452.7,320,61520.4,40,36522960
16/061,6/2/2016,3,4,19,24,26,34,38,24,,2,4,2,1,2,1,0,0,0,1,1577280,45,93460,123.2,9600,3391,640,3386.6,320,61411.9,40,34163569
16/060,5/31/2016,21,24,36,38,39,44,49,"21,36",,2,4,0,0,2,3,1,1,8000000,0,0,37.5,128470,142,9600,2720.2,640,3742,320,51042.6,40,36258249
16/059,5/28/2016,21,23,32,33,36,42,20,36,,3,3,0,0,2,3,1,1,21775340,4,527960,88,63990,136,9600,3810,640,4440.1,320,65371.8,40,43057874
16/058,5/26/2016,9,15,36,38,46,48,22,46,,2,4,1,1,0,2,2,0,0,3,622940,69.5,71700,219,9600,3644.9,640,5938,320,66199.9,40,41989634
16/057,5/24/2016,14,18,33,34,35,46,42,,,2,4,0,2,0,3,1,0,0,0,0,55.5,88080,139,9600,3106.2,640,3762,320,55565.1,40,37368734
16/056,5/21/2016,6,13,23,25,44,48,11,,,3,3,1,1,2,0,2,1,22833480,1,2209700,60,98200,156.5,9600,3626.5,640,5427.7,320,68343.1,40,45337573
16/055,5/19/2016,2,8,20,24,37,39,18,24,,2,4,2,1,1,2,0,0,0,2.5,843540,63.5,88560,161.5,9600,3328.4,640,5675.5,320,64110.4,40,43538318
16/054,5/17/2016,1,19,23,24,32,40,35,,,3,3,1,1,2,2,0,0,0,0,0,50,100140,117,9600,2765.6,640,3269,320,52736.3,40,36676426
16/053,5/15/2016,2,11,25,28,36,46,42,,,2,4,1,1,2,1,1,1,13855260,1,1951750,76,68480,175,9600,4174.5,640,4550,320,81800.6,40,43293096
16/052,5/12/2016,4,12,19,20,27,49,21,20,12,3,3,1,3,1,0,1,0,0,1.5,1109510,61,72750,144.5,9600,3479.4,640,4339.2,320,62253.2,40,36454079
16/051,5/10/2016,20,26,28,32,40,45,43,,,1,5,0,1,2,2,1,2,84659780,9.5,1880270,572,83270,1072,9600,27315.1,640,31992.9,320,509572.1,40,350471901
16/050,5/5/2016,6,7,12,15,27,36,29,,,3,3,2,2,1,1,0,0,0,15,664670,513,51820,1172.4,9600,25463.5,640,29673.3,320,433678.6,40,235990985
16/049,4/30/2016,11,20,28,29,44,49,40,28,,3,3,0,2,2,0,2,0,0,2,3482800,212,87610,613,9600,11979.5,640,17886.4,320,234383.8,40,147556973
16/048,4/26/2016,1,3,25,27,28,45,12,,,5,1,2,0,3,0,1,0,0,5,705190,152,61850,490,9600,10931.6,640,13949.4,320,181787.1,40,91234839
16/047,4/23/2016,2,10,16,35,46,47,49,,,2,4,2,1,0,1,2,0,0,1.5,2242310,89.5,100210,226.5,9600,5551,640,7470.5,320,103025.8,40,68295359
16/046,4/21/2016,3,5,14,15,39,41,21,5,,5,1,2,2,0,1,1,0,0,1,3062560,78.5,104030,206,9600,4340.1,640,6601.9,320,85438.7,40,60595924
16/045,4/19/2016,5,8,30,34,45,48,3,45,,2,4,2,0,1,1,2,0,0,1,2427070,75.5,85720,236,9600,4381,640,6471.8,320,79439.6,40,52034790
16/044,4/17/2016,16,24,28,35,45,46,38,46,,2,4,0,1,2,1,2,0,0,2,1054360,77,73020,227,9600,4130,640,5657,320,72634.6,40,46271339
16/043,4/14/2016,14,21,25,27,44,46,3,"21,25,46",14,3,3,0,1,3,0,2,0,0,1,2151790,50,114760,150.5,9600,2989,640,4681.6,320,59126.2,40,42564768
16/042,4/12/2016,21,25,28,33,46,48,10,,,3,3,0,0,3,1,2,0.5,30011980,3.5,720630,77,87350,198,9600,3940,640,5750.5,320,75207,40,51386592
16/041,4/9/2016,3,6,13,38,43,44,31,,,3,3,2,1,0,1,2,0,0,1,1915350,66.5,76800,167,9600,3645.7,640,4551.4,320,66922.8,40,40929150
16/040,4/7/2016,8,21,25,32,34,45,31,21,,3,3,1,0,2,2,1,0.5,30895240,0.5,2503170,75,89000,156.4,9600,3446.2,640,4884,320,68212.2,40,48771580
16/039,4/5/2016,4,10,21,30,35,43,7,4,,3,3,2,0,2,1,1,0,0,1,2124200,64.5,87820,233.5,9600,3346.5,640,6573.6,320,65407.2,40,45676156
16/038,4/2/2016,4,6,29,34,36,45,47,,,2,4,2,0,1,2,1,0,0,0.5,2220120,84.5,70060,175,9600,4687.9,640,4740,320,81219.3,40,47612006
16/037,3/29/2016,9,12,13,22,30,31,28,,,3,3,1,2,2,1,0,0.5,18485350,1,1472950,153.4,25600,274.5,9600,6433,640,7091.1,320,94176.5,40,43665541
16/036,3/26/2016,17,24,38,44,46,47,27,46,,2,4,0,1,1,1,3,0,0,2,874100,34.5,135120,125,9600,2248,640,3964,320,46757.5,40,34416587
16/035,3/24/2016,16,18,21,25,35,46,13,18,,3,3,0,2,2,1,1,0,0,0.5,1643680,34.5,127040,105.5,9600,2105.9,640,3119.8,320,41745.1,40,31611728
16/034,3/22/2016,5,10,18,24,27,49,39,,,3,3,2,1,2,0,1,2,8048860,1,1595710,86.5,61490,127.5,9600,4512.9,640,4208.6,320,81905.9,40,43237087
16/033,3/19/2016,23,25,35,39,42,43,14,,,5,1,0,0,2,2,2,0,0,0,0,36,127020,90.7,9600,2248.7,640,2909.2,320,41897.3,40,32370053
16/032,3/17/2016,3,8,15,16,17,38,35,,17,3,3,2,3,0,1,0,3,9717420,3,606620,241,20130,320.5,9600,7770.4,640,7838,320,118119.4,40,52991029
16/031,3/15/2016,1,6,19,26,28,41,39,41,,3,3,2,1,2,0,1,0,0,0,0,97.5,62360,172.5,9600,4407,640,5129.8,320,82839.6,40,48401450
16/030,3/12/2016,3,23,33,36,41,49,2,33,,5,1,1,0,1,2,2,0,0,1,1900790,42,120680,155.5,9600,3042.6,640,4433.8,320,59373.4,40,39183478
16/029,3/10/2016,9,14,24,30,33,48,43,30,,2,4,1,1,2,1,1,0,0,0.5,1738470,48,96580,124,9600,2811,640,3402,320,57177.3,40,35372752
16/028,3/8/2016,3,4,16,30,34,39,14,,,2,4,2,1,1,2,0,1.5,14174240,4,585560,194.5,32110,247.7,9600,5460.9,640,6128.2,320,84314.4,40,52529547
16/027,3/5/2016,17,26,29,32,48,49,40,,,3,3,0,1,2,1,2,0,0,2.5,644500,85.5,50250,322.5,9600,3674.5,640,6972.6,320,64001.7,40,40820572
16/026,3/3/2016,1,2,5,7,16,45,33,16,,4,2,4,1,0,0,1,0,0,0,0,60.5,61740,144.5,9600,5587,640,4546.9,320,85416.6,40,37216037
16/025,3/1/2016,11,16,19,21,30,33,31,11,,4,2,0,3,2,1,0,5,27218060,24,848470,795,68300,1980.5,9600,40930.4,640,54231.2,320,732713.6,40,446395296
16/024,2/27/2016,6,9,11,20,27,44,42,6,27,3,3,2,2,1,0,1,1,29307500,1,2238990,135.5,44060,215,9600,6817.9,640,5987.6,320,113157,40,54208592
16/023,2/25/2016,3,6,22,24,45,47,7,"24,45",,3,3,2,0,2,0,2,0,0,1.5,1572550,62.5,100640,196,9600,4027.5,640,6521.2,320,79291.9,40,49997292
16/022,2/23/2016,9,15,24,27,44,45,47,44,,4,2,1,1,2,0,2,0,0,2,1252330,82.5,80950,182,9600,4323.1,640,5321,320,78089.3,40,51276856
16/021,2/20/2016,12,20,39,44,47,49,45,"20,39",20,3,3,0,2,0,1,3,0,0,1,1770980,34,138900,109,9600,2314,640,3956.5,320,46195.9,40,34473261
16/020,2/18/2016,13,20,38,39,41,45,46,,,4,2,0,2,0,2,2,1,24693930,3,880810,64,110100,159,9600,3766,640,4555,320,72810.6,40,51232046
16/019,2/16/2016,18,21,22,34,42,43,24,43,,2,4,0,1,2,1,2,0,0,2,1180400,73,86230,207,9600,3874,640,4949,320,66959,40,48182858
16/018,2/13/2016,8,14,24,29,36,43,31,,,2,4,1,1,2,1,1,0,0,0,0,59,76770,104,9600,2686,640,3456,320,51242,40,33723116
16/017,2/11/2016,3,4,17,30,35,47,10,,,4,2,2,1,1,1,1,1,54916660,7,805550,161,93390,568,9600,9373,640,15856,320,178771,40,120336644
16/016,2/7/2016,11,13,15,19,21,29,41,"13,15",,6,0,0,4,2,0,0,1,8000000,2,809280,212,20400,172,9600,5875,640,4093,320,64367,40,39171989
16/015,2/4/2016,7,13,15,35,38,45,32,,,5,1,1,2,0,2,1,1,8000000,1,1594170,71,59870,168,9600,4040,640,4043,320,62856,40,36453488
16/014,2/2/2016,18,28,30,33,34,36,2,,,1,5,0,1,2,3,0,2,19497340,2,1157580,120,51660,285,9600,5858,640,8185,320,97037,40,55447401
16/013,1/30/2016,1,5,29,32,39,44,4,,,4,2,2,0,1,2,1,0,0,2,1557300,58,108330,137,9600,2868,640,4905,320,60459,40,44901369
16/012,1/28/2016,8,20,30,34,42,48,36,,,0,6,1,1,1,1,2,0,0,3,639230,71,72020,149,9600,3275,640,4332,320,65299,40,39950603
16/011,1/26/2016,5,9,22,26,27,40,13,,26,3,3,2,0,3,1,0,0,0,1,1582700,55,77440,229,9600,3933,640,5766,320,71913,40,38933594
16/010,1/23/2016,7,8,12,14,23,32,5,12,23,2,4,2,2,1,1,0,1,8000000,5,213230,89,28750,255,9600,4012,640,6440,320,63518,40,30813059
16/009,1/21/2016,2,12,33,40,45,47,9,,,3,3,1,1,0,2,2,1,22509740,3,703480,72,78710,212,9600,4456,640,5948,320,72556,40,46580521
16/008,1/19/2016,8,18,20,25,30,39,13,,,2,4,1,2,2,1,0,1,32356790,1,2604500,107,64900,238,9600,6540,640,7477,320,114917,40,60259413
16/007,1/16/2016,1,2,6,37,40,43,24,"1,2",,3,3,3,0,0,2,1,0,0,0,0,46,134580,133,9600,2667,640,4127,320,62478,40,44094640
16/006,1/14/2016,1,2,10,23,32,49,26,,,3,3,3,0,1,1,1,1,30513670,2,1437890,151,38090,342,9600,6897,640,8059,320,112767,40,56637640
16/005,1/12/2016,8,13,15,35,44,45,47,"8,15,45",,4,2,1,2,0,1,2,0,0,1,2492050,60,111680,145,9600,4135,640,4822,320,73071,40,49548124
16/004,1/10/2016,4,8,15,18,30,45,38,,,2,4,2,2,1,0,1,0,0,0,0,72,73160,180,9600,4162,640,5350,320,74798,40,43632963
16/003,1/7/2016,6,9,11,29,43,47,8,,,5,1,2,1,1,0,2,0,0,1,1331300,84,42260,213,9600,3535,640,6760,320,64799,40,34842788
